# command | priority | estimated_time (s) | resource_requirement
echo "Priority level 3 d" | 3 | 5 | low
echo "Priority level 0 b" | 0 | 3 | low
echo "Priority level 2 b" | 2 | 3 | low
echo "Priority level 1 c" | 1 | 4 | low
echo "Priority level 0 a" | 0 | 2 | low
echo "Priority level 2 d" | 2 | 5 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
sleep 20 | 1 | 0 | low
echo "Priority level 2 a" | 2 | 2 | low
echo "Priority level 1 a" | 1 | 2 | low
echo "Priority level 1 b" | 1 | 3 | low
echo "Priority level 0 c" | 0 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 2 c" | 2 | 4 | low
echo "Priority level 1 d" | 1 | 5 | low
echo "Hello World" | 0 | 0 | low





